latitude,longitude,chi,elevation,flow_distance,drainage_area,slope,source_key,basin_key
34.4381818,110.284209,2.4307,892,14868,1.9738e+07,0.07248,0,0
34.4381818,110.284209,2.4307,892,14868,1.9738e+07,0.084907,0,0
34.4381818,110.284209,2.4307,892,14868,1.9738e+07,0.10248,0,0
34.4389934,110.284202,2.4049,886,14754,1.9789e+07,0.064075,0,0
34.4403479,110.284517,2.3628,879,14566,1.9854e+07,0.049436,0,0
34.4403479,110.284517,2.3628,879,14566,1.9854e+07,0.054359,0,0
34.4403479,110.284517,2.3628,879,14566,1.9854e+07,0.058705,0,0
34.4406204,110.284842,2.3533,874,14524,1.9867e+07,0.039157,0,0
34.4408909,110.284839,2.3466,873,14494,2.0176e+07,0.037378,0,0
34.4408909,110.284839,2.3466,873,14494,2.0176e+07,0.040427,0,0
34.4408909,110.284839,2.3466,873,14494,2.0176e+07,0.044018,0,0
34.4408909,110.284839,2.3466,873,14494,2.0176e+07,0.048311,0,0
34.4414339,110.285161,2.3306,868.01,14421,2.0943e+07,0.037245,0,0
34.4430608,110.2858,2.2805,864,14192,2.1004e+07,0.032544,0,0
34.4433314,110.285798,2.2739,862.01,14162,2.1048e+07,0.039052,0,0
34.4438724,110.285794,2.2608,862,14102,2.1058e+07,0.039346,0,0
34.4446859,110.286113,2.2385,858,13999,2.1114e+07,0.041073,0,0
34.4446859,110.286113,2.2385,858,13999,2.1114e+07,0.044283,0,0
34.4446859,110.286113,2.2385,858,13999,2.1114e+07,0.048038,0,0
34.4446859,110.286113,2.2385,858,13999,2.1114e+07,0.052491,0,0
34.4446859,110.286113,2.2385,858,13999,2.1114e+07,0.056169,0,0
34.4446859,110.286113,2.2385,858,13999,2.1114e+07,0.060405,0,0
34.4454975,110.286106,2.2189,854,13909,2.1142e+07,0.050342,0,0
34.445768,110.286104,2.2124,849,13879,2.1937e+07,0.056152,0,0
34.445768,110.286104,2.2124,849,13879,2.1937e+07,0.060581,0,0
34.445768,110.286104,2.2124,849,13879,2.1937e+07,0.065769,0,0
34.445768,110.286104,2.2124,849,13879,2.1937e+07,0.065097,0,0
34.445768,110.286104,2.2124,849,13879,2.1937e+07,0.072129,0,0
34.4460404,110.286428,2.2034,844,13837,2.1955e+07,0.090161,0,0
34.4460404,110.286428,2.2034,844,13837,2.1955e+07,0.08898,0,0
34.4460404,110.286428,2.2034,844,13837,2.1955e+07,0.10125,0,0
34.4463129,110.286752,2.1943,844,13794,2.2083e+07,0.11213,0,0
34.4465853,110.287077,2.1853,839,13752,2.2089e+07,0.072129,0,0
34.4468558,110.287074,2.1789,833,13722,2.2095e+07,0.055311,0,0
34.4468558,110.287074,2.1789,833,13722,2.2095e+07,0.062263,0,0
34.4479379,110.287065,2.1534,829,13602,2.2553e+07,0.051256,0,0
34.44902,110.287056,2.1229,823,13457,2.2602e+07,0.036852,0,0
34.449563,110.287378,2.1077,820,13385,2.3075e+07,0.043562,0,0
34.449563,110.287378,2.1077,820,13385,2.3075e+07,0.045862,0,0
34.449563,110.287378,2.1077,820,13385,2.3075e+07,0.048418,0,0
34.4498354,110.287702,2.0988,818,13342,2.3076e+07,0.049311,0,0
34.450106,110.2877,2.0926,815.01,13312,2.3087e+07,0.049514,0,0
34.450106,110.2877,2.0926,815.01,13312,2.3087e+07,0.054485,0,0
34.450106,110.2877,2.0926,815.01,13312,2.3087e+07,0.056103,0,0
34.4514605,110.288015,2.0538,811,13125,2.3347e+07,0.061775,0,0
34.4514605,110.288015,2.0538,811,13125,2.3347e+07,0.061384,0,0
34.451731,110.288013,2.0476,804,13095,2.3375e+07,0.066214,0,0
34.451731,110.288013,2.0476,804,13095,2.3375e+07,0.051003,0,0
34.451731,110.288013,2.0476,804,13095,2.3375e+07,0.048346,0,0
34.451731,110.288013,2.0476,804,13095,2.3375e+07,0.051924,0,0
34.451731,110.288013,2.0476,804,13095,2.3375e+07,0.058001,0,0
34.451731,110.288013,2.0476,804,13095,2.3375e+07,0.065692,0,0
34.451731,110.288013,2.0476,804,13095,2.3375e+07,0.075736,0,0
34.4519996,110.287684,2.0388,798.01,13053,2.3393e+07,0.060217,0,0
34.4533523,110.287672,2.0027,794,12878,2.3692e+07,0.047378,0,0
34.4541639,110.287666,1.9791,788,12763,2.3825e+07,0.046464,0,0
34.4541639,110.287666,1.9791,788,12763,2.3825e+07,0.051271,0,0
34.4541639,110.287666,1.9791,788,12763,2.3825e+07,0.055314,0,0
34.4541639,110.287666,1.9791,788,12763,2.3825e+07,0.06005,0,0
34.4544344,110.287663,1.973,786,12733,2.3836e+07,0.019683,0,0
34.4549754,110.287659,1.9607,784,12673,2.3866e+07,0.023334,0,0
34.455246,110.287656,1.9545,783,12643,2.3887e+07,0.023324,0,0
34.4555184,110.287981,1.9459,777,12600,2.392e+07,0.022253,0,0
34.4555184,110.287981,1.9459,777,12600,2.392e+07,0.038699,0,0
34.4601363,110.291208,1.8017,776,11892,2.4441e+07,0.037793,0,0
34.4604087,110.291532,1.7931,770,11849,2.4442e+07,0.036829,0,0
34.4604087,110.291532,1.7931,770,11849,2.4442e+07,0.038101,0,0
34.4604087,110.291532,1.7931,770,11849,2.4442e+07,0.038273,0,0
34.4606812,110.291856,1.7845,751,11807,2.4443e+07,0.032759,0,0
34.4606812,110.291856,1.7845,751,11807,2.4443e+07,0.033324,0,0
34.4606812,110.291856,1.7845,751,11807,2.4443e+07,0.034706,0,0
34.4606812,110.291856,1.7845,751,11807,2.4443e+07,0.036872,0,0
34.4606812,110.291856,1.7845,751,11807,2.4443e+07,0.039327,0,0
34.4606812,110.291856,1.7845,751,11807,2.4443e+07,0.042133,0,0
