x,easting,northing,elevation
254.8466219,528502.7074,6189954.516,303.9801941
257.0247982,528504.7161,6189953.673,303.8843689
259.2029744,528506.7248,6189952.831,303.5652466
261.3811507,528508.7335,6189951.988,303.3686218
263.559327,528510.7422,6189951.146,302.9773254
265.7375032,528512.7509,6189950.304,302.7688599
267.9156795,528514.7596,6189949.461,302.554718
270.0938557,528516.7683,6189948.619,302.2121887
272.272032,528518.777,6189947.777,302.0151978
274.4502082,528520.7857,6189946.934,301.7088928
276.6283845,528522.7944,6189946.092,301.4949341
278.8065607,528524.8031,6189945.25,301.1660767
280.984737,528526.8118,6189944.407,300.9505005
283.1629133,528528.8205,6189943.565,300.7098083
285.3410895,528530.8292,6189942.722,300.2985535
287.5192658,528532.8379,6189941.88,300.0123291
289.697442,528534.8466,6189941.038,299.4930725
291.8756183,528536.8553,6189940.195,299.2498169
294.0537945,528538.864,6189939.353,299.0410156
296.2319708,528540.8727,6189938.511,298.7038269
298.4101471,528542.8814,6189937.668,298.5457153
300.5883233,528544.8901,6189936.826,298.2554932
302.7664996,528546.8988,6189935.984,298.0712891
304.9446758,528548.9075,6189935.141,297.7395325
307.1228521,528550.9162,6189934.299,297.5052185
309.3010283,528552.9249,6189933.457,297.2476196
311.4792046,528554.9336,6189932.614,296.8027039
313.6573808,528556.9424,6189931.772,296.5426025
315.8355571,528558.9511,6189930.929,296.1177673
318.0137334,528560.9598,6189930.087,295.9016724
320.1919096,528562.9685,6189929.245,295.4983215
322.3700859,528564.9772,6189928.402,295.2861633
324.5482621,528566.9859,6189927.56,295.0692139
326.7264384,528568.9946,6189926.718,294.6200562
328.9046146,528571.0033,6189925.875,294.4100647
331.0827909,528573.012,6189925.033,293.9865723
333.2609671,528575.0207,6189924.191,293.8048401
335.4391434,528577.0294,6189923.348,293.6066895
337.6173197,528579.0381,6189922.506,293.283844
339.7954959,528581.0468,6189921.664,293.1246033
341.9736722,528583.0555,6189920.821,292.8021545
344.1518484,528585.0642,6189919.979,292.5965881
346.3300247,528587.0729,6189919.136,292.1356506
348.5082009,528589.0816,6189918.294,291.8528137
350.6863772,528591.0903,6189917.452,291.525177
352.8645534,528593.099,6189916.609,290.8710022
355.0427297,528595.1077,6189915.767,290.4577026
357.220906,528597.1164,6189914.925,289.7903442
359.3990822,528599.1251,6189914.082,289.4217224
361.5772585,528601.1338,6189913.24,288.831604
363.7554347,528603.1425,6189912.398,288.5417786
365.933611,528605.1512,6189911.555,288.2301025
368.1117872,528607.1599,6189910.713,287.9025879
370.2899635,528609.1686,6189909.87,287.8534851
372.4681398,528611.1773,6189909.028,287.2714539
374.646316,528613.186,6189908.186,286.8330383
376.8244923,528615.1947,6189907.343,286.7723999
379.0026685,528617.2034,6189906.501,286.2311401
381.1808448,528619.2121,6189905.659,285.8897705
383.359021,528621.2208,6189904.816,285.0880432
385.5371973,528623.2295,6189903.974,284.7157898
387.7153735,528625.2382,6189903.132,283.9034424
389.8935498,528627.2469,6189902.289,283.4090881
392.0717261,528629.2556,6189901.447,282.9190369
394.2499023,528631.2643,6189900.605,281.7828674
396.4280786,528633.273,6189899.762,281.0994568
398.6062548,528635.2817,6189898.92,279.6781311
400.7844311,528637.2904,6189898.077,278.6473389
402.9626073,528639.2991,6189897.235,276.974884
405.1407836,528641.3078,6189896.393,275.8398438
407.3189598,528643.3165,6189895.55,274.7612305
409.4971361,528645.3252,6189894.708,273.0248108
411.6753124,528647.3339,6189893.866,272.0690918
413.8534886,528649.3426,6189893.023,270.3700562
416.0316649,528651.3513,6189892.181,269.3676453
418.2098411,528653.36,6189891.339,268.3174438
420.3880174,528655.3687,6189890.496,266.4675598
422.5661936,528657.3774,6189889.654,265.4237366
424.7443699,528659.3861,6189888.812,263.3841248
426.9225461,528661.3949,6189887.969,262.4066467
429.1007224,528663.4036,6189887.127,260.9012451
431.2788987,528665.4123,6189886.284,260.3686829
433.4570749,528667.421,6189885.442,259.9941711
435.6352512,528669.4297,6189884.6,259.5523376
437.8134274,528671.4384,6189883.757,259.4114685
439.9916037,528673.4471,6189882.915,259.3397217
442.1697799,528675.4558,6189882.073,259.2440186
444.3479562,528677.4645,6189881.23,259.2459412
446.5261325,528679.4732,6189880.388,259.0339355
448.7043087,528681.4819,6189879.546,258.7792358
448.7043087,528681.4819,6189879.546,258.7792358
